state,date,sector,consumption
Kelantan,2018-01-01,total,976.3067784257706
Negeri Sembilan,2018-01-01,total,782.1842748963398
Terengganu,2018-01-01,total,899.705087560865
Kedah,2018-01-01,total,923.0229071062731
Sarawak,2018-01-01,total,904.0124540808395
Pahang,2018-01-01,total,919.4993078970733
W.P. Labuan,2018-01-01,total,978.5253206407255
Selangor,2018-01-01,total,813.3710826025751
Perak,2018-01-01,total,790.3710322001238
Pulau Pinang,2018-01-01,total,1124.1599351841994
Perlis,2018-01-01,total,1059.5223800642707
Melaka,2018-01-01,total,1092.0542844313288
Sabah,2018-01-01,total,1071.442644082728
Johor,2018-01-01,total,764.3253730734133
Kelantan,2018-02-01,total,826.9009774958098
Negeri Sembilan,2018-02-01,total,974.0976979025822
Terengganu,2018-02-01,total,736.0849823546037
Kedah,2018-02-01,total,693.7269523581293
Sarawak,2018-02-01,total,946.2337160685568
Pahang,2018-02-01,total,850.2539978187592
W.P. Labuan,2018-02-01,total,905.4718994242663
Selangor,2018-02-01,total,1024.623928008283
Perak,2018-02-01,total,834.2418699599624
Pulau Pinang,2018-02-01,total,994.3727373281893
Perlis,2018-02-01,total,924.0084113796371
Melaka,2018-02-01,total,864.4934007406991
Sabah,2018-02-01,total,773.2857264836105
Johor,2018-02-01,total,750.6381514921403
Kelantan,2018-03-01,total,1014.6351105222177
Negeri Sembilan,2018-03-01,total,1080.201569210312
Terengganu,2018-03-01,total,844.5721022882586
Kedah,2018-03-01,total,956.5736027281055
Sarawak,2018-03-01,total,920.2544291264107
Pahang,2018-03-01,total,1140.7504818910263
W.P. Labuan,2018-03-01,total,1025.3407197633312
Selangor,2018-03-01,total,905.4846664677649
Perak,2018-03-01,total,895.3512633104365
Pulau Pinang,2018-03-01,total,825.6966760571594
Perlis,2018-03-01,total,812.6165084203831
Melaka,2018-03-01,total,883.9832755090649
Sabah,2018-03-01,total,1106.47753175701
Johor,2018-03-01,total,812.6789200996539
Kelantan,2018-04-01,total,992.3514421059172
Negeri Sembilan,2018-04-01,total,807.6345447000468
Terengganu,2018-04-01,total,883.7260947633139
Kedah,2018-04-01,total,1141.6569614318528
Sarawak,2018-04-01,total,853.4618984894519
Pahang,2018-04-01,total,876.2516269499262
W.P. Labuan,2018-04-01,total,825.4843056090269
Selangor,2018-04-01,total,809.6958593213762
Perak,2018-04-01,total,902.5053128726736
Pulau Pinang,2018-04-01,total,1098.8353453209654
Perlis,2018-04-01,total,846.0170255846264
Melaka,2018-04-01,total,1016.51435670244
Sabah,2018-04-01,total,937.3701748302133
Johor,2018-04-01,total,917.3822281727594
Kelantan,2018-05-01,total,854.3789716224455
Negeri Sembilan,2018-05-01,total,962.9456615445127
Terengganu,2018-05-01,total,1174.4610898806413
Kedah,2018-05-01,total,939.0297424354135
Sarawak,2018-05-01,total,856.4909684531783
Pahang,2018-05-01,total,810.8284814330693
W.P. Labuan,2018-05-01,total,1132.5817548784958
Selangor,2018-05-01,total,1110.773851078067
Perak,2018-05-01,total,796.9957404571351
Pulau Pinang,2018-05-01,total,970.7087021106457
Perlis,2018-05-01,total,915.616982462474
Melaka,2018-05-01,total,858.4820501569243
Sabah,2018-05-01,total,1008.5957650317537
Johor,2018-05-01,total,1126.9733915333
Kelantan,2018-06-01,total,927.5126168475045
Negeri Sembilan,2018-06-01,total,837.494576689515
Terengganu,2018-06-01,total,1044.650300759564
Kedah,2018-06-01,total,1092.2077921850107
Sarawak,2018-06-01,total,846.4148879583981
Pahang,2018-06-01,total,795.6989343440252
W.P. Labuan,2018-06-01,total,1120.2802829264788
Selangor,2018-06-01,total,1056.7057670417769
Perak,2018-06-01,total,764.0041112304319
Pulau Pinang,2018-06-01,total,908.7006670915396
Perlis,2018-06-01,total,1117.741413394576
Melaka,2018-06-01,total,828.4922164248954
Sabah,2018-06-01,total,792.7847267151623
Johor,2018-06-01,total,836.9739591423001
Kelantan,2018-07-01,total,1181.6938576718123
Negeri Sembilan,2018-07-01,total,927.7734718919852
Terengganu,2018-07-01,total,817.6088412522033
Kedah,2018-07-01,total,954.5123972988091
Sarawak,2018-07-01,total,1086.416747137829
Pahang,2018-07-01,total,952.1103304034341
W.P. Labuan,2018-07-01,total,989.2201240781307
Selangor,2018-07-01,total,862.3241397961568
Perak,2018-07-01,total,819.8842061215887
Pulau Pinang,2018-07-01,total,892.5252513347436
Perlis,2018-07-01,total,969.4140885517775
Melaka,2018-07-01,total,961.1482616717384
Sabah,2018-07-01,total,883.464723201412
Johor,2018-07-01,total,1173.8767596529935
Kelantan,2018-08-01,total,1132.7174072982166
Negeri Sembilan,2018-08-01,total,881.5189412429894
Terengganu,2018-08-01,total,848.1741210670748
Kedah,2018-08-01,total,1213.1299941473485
Sarawak,2018-08-01,total,932.2431368533538
Pahang,2018-08-01,total,1149.1725074944482
W.P. Labuan,2018-08-01,total,1053.7839309072845
Selangor,2018-08-01,total,1044.1181654235054
Perak,2018-08-01,total,931.1094452870555
Pulau Pinang,2018-08-01,total,832.5305645630649
Perlis,2018-08-01,total,991.8172002474307
Melaka,2018-08-01,total,907.3386834763285
Sabah,2018-08-01,total,1001.8634535345608
Johor,2018-08-01,total,1010.9864287229204
Kelantan,2018-09-01,total,862.1798496672866
Negeri Sembilan,2018-09-01,total,896.2981960244093
Terengganu,2018-09-01,total,1051.943822023392
Kedah,2018-09-01,total,897.1043481373756
Sarawak,2018-09-01,total,879.8163083103881
Pahang,2018-09-01,total,978.5336237306308
W.P. Labuan,2018-09-01,total,1053.501773320525
Selangor,2018-09-01,total,825.7666374938079
Perak,2018-09-01,total,879.815306132162
Pulau Pinang,2018-09-01,total,915.6441688537026
Perlis,2018-09-01,total,1134.1535592708135
Melaka,2018-09-01,total,896.3791660618124
Sabah,2018-09-01,total,933.079250695923
Johor,2018-09-01,total,860.9238649301495
Kelantan,2018-10-01,total,1174.196567083379
Negeri Sembilan,2018-10-01,total,998.842268997319
Terengganu,2018-10-01,total,884.5739120050811
Kedah,2018-10-01,total,1185.9445065118507
Sarawak,2018-10-01,total,826.607632881943
Pahang,2018-10-01,total,1124.9706691405022
W.P. Labuan,2018-10-01,total,983.5611976053626
Selangor,2018-10-01,total,878.8155517421065
Perak,2018-10-01,total,1108.9576000323295
Pulau Pinang,2018-10-01,total,997.8579184858744
Perlis,2018-10-01,total,1117.9860222818459
Melaka,2018-10-01,total,853.3584662017058
Sabah,2018-10-01,total,1092.654148736459
Johor,2018-10-01,total,979.3326646290232
Kelantan,2018-11-01,total,830.1118416908167
Negeri Sembilan,2018-11-01,total,812.441198385082
Terengganu,2018-11-01,total,905.6913555037157
Kedah,2018-11-01,total,1143.6513051082256
Sarawak,2018-11-01,total,834.8077819948478
Pahang,2018-11-01,total,943.8857464655798
W.P. Labuan,2018-11-01,total,868.332636822766
Selangor,2018-11-01,total,1094.2619304501657
Perak,2018-11-01,total,1103.0618767237663
Pulau Pinang,2018-11-01,total,905.1945961956901
Perlis,2018-11-01,total,1117.1640295410268
Melaka,2018-11-01,total,990.756771746576
Sabah,2018-11-01,total,1124.53867720253
Johor,2018-11-01,total,803.1778191778985
Kelantan,2018-12-01,total,858.9657519072571
Negeri Sembilan,2018-12-01,total,925.091140735356
Terengganu,2018-12-01,total,944.6989773090129
Kedah,2018-12-01,total,807.4073149946364
Sarawak,2018-12-01,total,807.7068372730878
Pahang,2018-12-01,total,1012.9414730962148
W.P. Labuan,2018-12-01,total,1083.116727320113
Selangor,2018-12-01,total,1079.2073633977252
Perak,2018-12-01,total,963.3647400684731
Pulau Pinang,2018-12-01,total,959.0614303621655
Perlis,2018-12-01,total,841.3051484801725
Melaka,2018-12-01,total,896.5343220713779
Sabah,2018-12-01,total,855.3177834456526
Johor,2018-12-01,total,1116.5527722150969
Kelantan,2019-01-01,total,1193.579914106112
Negeri Sembilan,2019-01-01,total,1052.2238999402357
Terengganu,2019-01-01,total,1140.412195816692
Kedah,2019-01-01,total,986.3372033680245
Sarawak,2019-01-01,total,956.853691073681
Pahang,2019-01-01,total,929.2642929610428
W.P. Labuan,2019-01-01,total,1077.4535109779968
Selangor,2019-01-01,total,1012.7257599264703
Perak,2019-01-01,total,898.6029080007768
Pulau Pinang,2019-01-01,total,978.0714429431463
Perlis,2019-01-01,total,1003.5630674672215
Melaka,2019-01-01,total,1071.9516008555963
Sabah,2019-01-01,total,819.4056723696048
Johor,2019-01-01,total,1035.8056348369626
Kelantan,2019-02-01,total,842.6311947017651
Negeri Sembilan,2019-02-01,total,887.7882866409637
Terengganu,2019-02-01,total,1042.7910494568391
Kedah,2019-02-01,total,1015.0054667978989
Sarawak,2019-02-01,total,775.3005184388948
Pahang,2019-02-01,total,986.5212958259799
W.P. Labuan,2019-02-01,total,837.785434227631
Selangor,2019-02-01,total,1046.8670926597276
Perak,2019-02-01,total,797.4573505643116
Pulau Pinang,2019-02-01,total,1008.6607167165821
Perlis,2019-02-01,total,820.3565946926244
Melaka,2019-02-01,total,944.9358230988713
Sabah,2019-02-01,total,1051.8433182651065
Johor,2019-02-01,total,1044.6533018968025
Kelantan,2019-03-01,total,1133.7040444979884
Negeri Sembilan,2019-03-01,total,1128.4083524837076
Terengganu,2019-03-01,total,1148.606550700319
Kedah,2019-03-01,total,1001.0070111832124
Sarawak,2019-03-01,total,1160.3975640668384
Pahang,2019-03-01,total,1191.4951017618198
W.P. Labuan,2019-03-01,total,1241.662677226822
Selangor,2019-03-01,total,976.1353999130963
Perak,2019-03-01,total,1015.5461250351273
Pulau Pinang,2019-03-01,total,1126.476270580282
Perlis,2019-03-01,total,955.9633200585973
Melaka,2019-03-01,total,935.1614055517541
Sabah,2019-03-01,total,1114.71902136638
Johor,2019-03-01,total,961.8180675351457
Kelantan,2019-04-01,total,1225.362758154665
Negeri Sembilan,2019-04-01,total,1032.1674523461695
Terengganu,2019-04-01,total,1102.698746383683
Kedah,2019-04-01,total,889.5688162255914
Sarawak,2019-04-01,total,1019.7093192365359
Pahang,2019-04-01,total,1231.8219043799959
W.P. Labuan,2019-04-01,total,851.1353148974189
Selangor,2019-04-01,total,1124.643193086635
Perak,2019-04-01,total,960.8370549918742
Pulau Pinang,2019-04-01,total,948.773635327571
Perlis,2019-04-01,total,1210.8516395406916
Melaka,2019-04-01,total,1181.5876418438982
Sabah,2019-04-01,total,837.3090641658539
Johor,2019-04-01,total,1107.4873330464304
Kelantan,2019-05-01,total,1253.6146267579736
Negeri Sembilan,2019-05-01,total,974.1638753662934
Terengganu,2019-05-01,total,881.7050213252626
Kedah,2019-05-01,total,1138.7772814745742
Sarawak,2019-05-01,total,1031.6661974430697
Pahang,2019-05-01,total,860.0540584832221
W.P. Labuan,2019-05-01,total,1240.0145383673466
Selangor,2019-05-01,total,1156.5864599584283
Perak,2019-05-01,total,867.2660039995397
Pulau Pinang,2019-05-01,total,909.0492405186055
Perlis,2019-05-01,total,894.4810778574848
Melaka,2019-05-01,total,1161.1763297950536
Sabah,2019-05-01,total,1051.699765927307
Johor,2019-05-01,total,1221.7629486013773
Kelantan,2019-06-01,total,914.2146652319742
Negeri Sembilan,2019-06-01,total,1073.491823892518
Terengganu,2019-06-01,total,831.4538027753979
Kedah,2019-06-01,total,935.548742352767
Sarawak,2019-06-01,total,1115.4211815742142
Pahang,2019-06-01,total,1116.6904707712292
W.P. Labuan,2019-06-01,total,1026.1877972547259
Selangor,2019-06-01,total,1062.9618144136962
Perak,2019-06-01,total,1063.4661322629615
Pulau Pinang,2019-06-01,total,894.3171757572328
Perlis,2019-06-01,total,1022.74151079612
Melaka,2019-06-01,total,1000.6410727394847
Sabah,2019-06-01,total,1025.6405029996934
Johor,2019-06-01,total,781.0564563710001
Kelantan,2019-07-01,total,1080.1751731907354
Negeri Sembilan,2019-07-01,total,984.9727103942168
Terengganu,2019-07-01,total,1194.5463051235208
Kedah,2019-07-01,total,1002.2040461454121
Sarawak,2019-07-01,total,1162.5546660250084
Pahang,2019-07-01,total,928.7808147746671
W.P. Labuan,2019-07-01,total,1193.4244086151898
Selangor,2019-07-01,total,888.2293597458919
Perak,2019-07-01,total,1223.3198084417818
Pulau Pinang,2019-07-01,total,890.005902552307
Perlis,2019-07-01,total,1108.5435327217226
Melaka,2019-07-01,total,1138.4160256485711
Sabah,2019-07-01,total,1127.2706132518147
Johor,2019-07-01,total,996.2392903711336
Kelantan,2019-08-01,total,1023.3738787872833
Negeri Sembilan,2019-08-01,total,957.4849882140315
Terengganu,2019-08-01,total,959.0423113051394
Kedah,2019-08-01,total,1150.8664959129032
Sarawak,2019-08-01,total,1034.1617877680412
Pahang,2019-08-01,total,1155.9507102167347
W.P. Labuan,2019-08-01,total,1213.6750600922585
Selangor,2019-08-01,total,1171.8939599403614
Perak,2019-08-01,total,890.8063649964671
Pulau Pinang,2019-08-01,total,998.5665138397283
Perlis,2019-08-01,total,1162.610177527622
Melaka,2019-08-01,total,865.1559912946407
Sabah,2019-08-01,total,1230.559326097155
Johor,2019-08-01,total,828.6207783418615
Kelantan,2019-09-01,total,800.9281995113306
Negeri Sembilan,2019-09-01,total,956.0951832121616
Terengganu,2019-09-01,total,983.0597545328754
Kedah,2019-09-01,total,1140.6679567131782
Sarawak,2019-09-01,total,1178.466644804613
Pahang,2019-09-01,total,1049.7728407040256
W.P. Labuan,2019-09-01,total,890.1893574090285
