state,date,sector,supply
Kelantan,2018-01-01,total,1112.8283314154253
Negeri Sembilan,2018-01-01,total,1050.2544776468817
Terengganu,2018-01-01,total,1027.6205142598085
Kedah,2018-01-01,total,836.5689002919665
Sarawak,2018-01-01,total,820.9331981984709
Pahang,2018-01-01,total,1033.8381704498108
W.P. Labuan,2018-01-01,total,860.5193779398387
Selangor,2018-01-01,total,955.3240384109032
Perak,2018-01-01,total,971.9633767822609
Pulau Pinang,2018-01-01,total,917.4014290473507
Perlis,2018-01-01,total,763.4866941354919
Melaka,2018-01-01,total,952.1952183652359
Sabah,2018-01-01,total,1114.7772144742253
Johor,2018-01-01,total,801.5622556444221
Kelantan,2018-02-01,total,955.1070756975032
Negeri Sembilan,2018-02-01,total,876.1495632185407
Terengganu,2018-02-01,total,784.1816904388428
Kedah,2018-02-01,total,829.156784177495
Sarawak,2018-02-01,total,854.2206157707773
Pahang,2018-02-01,total,922.7910173629024
W.P. Labuan,2018-02-01,total,804.0408263235538
Selangor,2018-02-01,total,895.9398878902596
Perak,2018-02-01,total,1029.988219490336
Pulau Pinang,2018-02-01,total,823.8727554511798
Perlis,2018-02-01,total,737.6185897984951
Melaka,2018-02-01,total,856.7960072343893
Sabah,2018-02-01,total,976.6085116832311
Johor,2018-02-01,total,740.4988084533499
Kelantan,2018-03-01,total,1093.0079004106262
Negeri Sembilan,2018-03-01,total,861.9978410889668
Terengganu,2018-03-01,total,873.2081258312943
Kedah,2018-03-01,total,1194.363230224272
Sarawak,2018-03-01,total,961.1831770323282
Pahang,2018-03-01,total,923.108668033866
W.P. Labuan,2018-03-01,total,903.2451212811633
Selangor,2018-03-01,total,1196.1179458152055
Perak,2018-03-01,total,1024.2959839711955
Pulau Pinang,2018-03-01,total,1071.9056667453492
Perlis,2018-03-01,total,821.7609690379662
Melaka,2018-03-01,total,864.3177313842849
Sabah,2018-03-01,total,904.9838155025338
Johor,2018-03-01,total,940.8988854510776
Kelantan,2018-04-01,total,1032.0822114126215
Negeri Sembilan,2018-04-01,total,1083.7523271855978
Terengganu,2018-04-01,total,1050.5436933128944
Kedah,2018-04-01,total,993.3328263298264
Sarawak,2018-04-01,total,954.3334613416185
Pahang,2018-04-01,total,782.4086178276852
W.P. Labuan,2018-04-01,total,1152.8843158369502
Selangor,2018-04-01,total,985.9225343380429
Perak,2018-04-01,total,988.2288470945533
Pulau Pinang,2018-04-01,total,991.1637918070537
Perlis,2018-04-01,total,1045.5755660846312
Melaka,2018-04-01,total,1136.8290462630143
Sabah,2018-04-01,total,796.3778421333941
Johor,2018-04-01,total,960.6137530498727
Kelantan,2018-05-01,total,1067.4135768790109
Negeri Sembilan,2018-05-01,total,1132.572541120939
Terengganu,2018-05-01,total,1000.6171671424609
Kedah,2018-05-01,total,941.3872367103648
Sarawak,2018-05-01,total,1180.9945290066391
Pahang,2018-05-01,total,897.5664350330518
W.P. Labuan,2018-05-01,total,855.1369830015052
Selangor,2018-05-01,total,995.3157603622444
Perak,2018-05-01,total,1136.1216424786614
Pulau Pinang,2018-05-01,total,882.588045674151
Perlis,2018-05-01,total,1068.7081881874583
Melaka,2018-05-01,total,1045.0807599327145
Sabah,2018-05-01,total,984.6626643043475
Johor,2018-05-01,total,1091.7256080091315
Kelantan,2018-06-01,total,1124.8548047174436
Negeri Sembilan,2018-06-01,total,842.5346813724783
Terengganu,2018-06-01,total,916.6128165212791
Kedah,2018-06-01,total,890.6855290938244
Sarawak,2018-06-01,total,1014.2388399486819
Pahang,2018-06-01,total,1078.2985011923752
W.P. Labuan,2018-06-01,total,1058.2798049735559
Selangor,2018-06-01,total,939.7813191463758
Perak,2018-06-01,total,1055.6303449606053
Pulau Pinang,2018-06-01,total,894.1916084463039
Perlis,2018-06-01,total,954.5956228709545
Melaka,2018-06-01,total,1141.5494193679035
Sabah,2018-06-01,total,1068.7150112806683
Johor,2018-06-01,total,770.1952472471406
Kelantan,2018-07-01,total,1004.6620090293025
Negeri Sembilan,2018-07-01,total,840.2603619918455
Terengganu,2018-07-01,total,896.9163595571173
Kedah,2018-07-01,total,1035.3794052427947
Sarawak,2018-07-01,total,1182.092083277317
Pahang,2018-07-01,total,1146.7919289650686
W.P. Labuan,2018-07-01,total,968.5794699674866
Selangor,2018-07-01,total,947.6489695682195
Perak,2018-07-01,total,1008.4013011351399
Pulau Pinang,2018-07-01,total,1128.3878778449018
Perlis,2018-07-01,total,999.8645283405151
Melaka,2018-07-01,total,1113.4917769443184
Sabah,2018-07-01,total,1039.4448096744911
Johor,2018-07-01,total,1001.1155815161086
Kelantan,2018-08-01,total,1150.7988061228937
Negeri Sembilan,2018-08-01,total,982.3361889265498
Terengganu,2018-08-01,total,1104.364974865705
Kedah,2018-08-01,total,930.1039186329099
Sarawak,2018-08-01,total,992.2986994987116
Pahang,2018-08-01,total,948.2849238933987
W.P. Labuan,2018-08-01,total,1136.1916813287621
Selangor,2018-08-01,total,897.0796223984205
Perak,2018-08-01,total,1158.738127735424
Pulau Pinang,2018-08-01,total,1190.183445354423
Perlis,2018-08-01,total,1209.1003354485392
Melaka,2018-08-01,total,1011.6001564599824
Sabah,2018-08-01,total,1128.5026640942874
Johor,2018-08-01,total,1005.5490410972541
Kelantan,2018-09-01,total,1084.4573034310993
Negeri Sembilan,2018-09-01,total,1128.9163039747752
Terengganu,2018-09-01,total,807.9177150039154
Kedah,2018-09-01,total,919.7545778233691
Sarawak,2018-09-01,total,1000.7608670182094
Pahang,2018-09-01,total,1000.8979620441403
W.P. Labuan,2018-09-01,total,931.4401735445108
Selangor,2018-09-01,total,849.8734736544412
Perak,2018-09-01,total,903.7718188526127
Pulau Pinang,2018-09-01,total,914.32009135713
Perlis,2018-09-01,total,1066.7824344327826
Melaka,2018-09-01,total,847.8134898345371
Sabah,2018-09-01,total,1087.5090352173045
Johor,2018-09-01,total,946.6365673453257
Kelantan,2018-10-01,total,876.1448177868615
Negeri Sembilan,2018-10-01,total,1177.043040217619
Terengganu,2018-10-01,total,1191.204016436349
Kedah,2018-10-01,total,930.4985241924193
Sarawak,2018-10-01,total,864.0196543336906
Pahang,2018-10-01,total,1066.7002992203645
